"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: type"
"de.darmstadt.tu.dvs.benchmark.list.collection.AddAtMiddleBenchmark.add_100","ss",1,25,31.13708000000001,11.447484948392608,"us","LL"
"de.darmstadt.tu.dvs.benchmark.list.collection.AddAtMiddleBenchmark.add_100","ss",1,25,82.24776,154.13023246145212,"us","AL"
"de.darmstadt.tu.dvs.benchmark.list.collection.AddAtMiddleBenchmark.add_100","ss",1,25,112.45327999999999,24.478878775837536,"us","TL"
"de.darmstadt.tu.dvs.benchmark.list.collection.AddAtMiddleBenchmark.add_1000","ss",1,25,446.19719999999995,41.62039604018334,"us","LL"
"de.darmstadt.tu.dvs.benchmark.list.collection.AddAtMiddleBenchmark.add_1000","ss",1,25,159.52200000000002,31.266188466468225,"us","AL"
"de.darmstadt.tu.dvs.benchmark.list.collection.AddAtMiddleBenchmark.add_1000","ss",1,25,713.1197199999999,136.74131511784452,"us","TL"
"de.darmstadt.tu.dvs.benchmark.list.collection.AddAtMiddleBenchmark.add_10000","ss",1,25,56874.86767999998,1469.7207630802243,"us","LL"
"de.darmstadt.tu.dvs.benchmark.list.collection.AddAtMiddleBenchmark.add_10000","ss",1,25,4496.3132000000005,696.9956335134627,"us","AL"
"de.darmstadt.tu.dvs.benchmark.list.collection.AddAtMiddleBenchmark.add_10000","ss",1,25,4977.594599999999,1113.0474642659715,"us","TL"
"de.darmstadt.tu.dvs.benchmark.list.collection.AddAtMiddleBenchmark.add_100000","ss",1,25,9190527.908079999,96016.62151762508,"us","LL"
"de.darmstadt.tu.dvs.benchmark.list.collection.AddAtMiddleBenchmark.add_100000","ss",1,25,367347.46496,6294.260288263377,"us","AL"
"de.darmstadt.tu.dvs.benchmark.list.collection.AddAtMiddleBenchmark.add_100000","ss",1,25,30156.53768,706.2133568520558,"us","TL"
